10.20.3.1;54:BF:64:87:24:49
10.20.3.11;54:BF:64:87:21:CA
10.20.3.12;54:BF:64:87:3C:0C
10.20.3.13;54:BF:64:87:24:37
10.20.3.14;54:BF:64:87:3D:D6
10.20.3.16;54:BF:64:87:3C:92
10.20.3.21;54:BF:64:87:3C:A8
10.20.3.22;54:BF:64:87:24:1F
10.20.3.23;54:BF:64:87:6E:AE
10.20.3.24;54:BF:64:87:24:2F
10.20.3.26;54:BF:64:87:67:F3
10.20.3.31;54:BF:64:87:70:54
10.20.3.32;54:BF:64:87:24:C2
10.20.3.33;54:BF:64:87:23:8E
10.20.3.34;54:BF:64:87:24:0A
10.20.3.36;54:BF:64:87:24:50
10.20.3.43;54:BF:64:87:24:3C
10.20.3.44;54:BF:64:87:23:78
10.20.3.45;54:BF:64:87:3C:FD
